Date,Open,High,Low,Close,Adj Close,Volume
2006-06-26,14.400000,14.415000,14.325000,14.410000,11.594478,630800
2006-06-27,14.425000,14.435000,14.260000,14.290000,11.497926,947200
2006-06-28,14.335000,14.362500,14.250000,14.355000,11.550218,540400
2006-06-29,14.437500,14.652500,14.422500,14.637500,11.777532,1536800
2006-06-30,14.685000,14.687500,14.600000,14.600000,11.747359,718400
2006-07-03,14.687500,14.715000,14.637500,14.715000,11.839888,585600
2006-07-05,14.662500,14.662500,14.540000,14.602500,11.749367,2836800
2006-07-06,14.590000,14.690000,14.590000,14.635000,11.775519,1085200
2006-07-07,14.575000,14.650000,14.505000,14.542500,11.701088,728000
2006-07-10,14.550000,14.627500,14.512500,14.552500,11.709140,752800
2006-07-11,14.517500,14.612500,14.460000,14.587500,11.737298,1694000
2006-07-12,14.610000,14.612500,14.422500,14.447500,11.624651,928000
2006-07-13,14.387500,14.412500,14.255000,14.275000,11.485857,1591600
2006-07-14,14.302500,14.302500,14.117500,14.200000,11.425510,1037600
2006-07-17,14.190000,14.267500,14.165000,14.175000,11.405396,966800
2006-07-18,14.187500,14.262500,14.062500,14.225000,11.445630,1341600
2006-07-19,14.250000,14.497500,14.225000,14.462500,11.636718,813200
2006-07-20,14.475000,14.495000,14.307500,14.307500,11.512005,796400
2006-07-21,14.330000,14.332500,14.207500,14.207500,11.431543,558400
2006-07-24,14.287500,14.500000,14.287500,14.477500,11.648790,924800
2006-07-25,14.475000,14.612500,14.427500,14.562500,11.717183,1045600
2006-07-26,14.512500,14.625000,14.475000,14.532500,11.693043,644000
2006-07-27,14.637500,14.647500,14.467500,14.492500,11.660860,1453200
2006-07-28,14.545000,14.685000,14.535000,14.647500,11.785574,487200
2006-07-31,14.650000,14.667500,14.612500,14.627500,11.769480,628000
2006-08-01,14.587500,14.597500,14.500000,14.555000,11.711149,771600
2006-08-02,14.637500,14.712500,14.625000,14.657500,11.793623,1178800
2006-08-03,14.555000,14.717500,14.550000,14.667500,11.801667,1812800
2006-08-04,14.772500,14.792500,14.592500,14.660000,11.795632,1329200
2006-08-07,14.587500,14.660000,14.587500,14.622500,11.765460,496400
2006-08-08,14.650000,14.710000,14.552500,14.577500,11.729250,637200
2006-08-09,14.725000,14.757500,14.545000,14.585000,11.735286,702800
2006-08-10,14.525000,14.655000,14.525000,14.625000,11.767472,798400
2006-08-11,14.625000,14.625000,14.542500,14.577500,11.729250,574400
2006-08-14,14.687500,14.735000,14.605000,14.620000,11.763451,847600
2006-08-15,14.762500,14.817500,14.705000,14.797500,11.906263,4229600
2006-08-16,14.837500,14.937500,14.832500,14.915000,12.000811,1201600
2006-08-17,14.877500,15.010000,14.877500,14.957500,12.035007,714000
2006-08-18,14.990000,15.040000,14.910000,15.040000,12.101389,670000
2006-08-21,15.012500,15.012500,14.945000,15.002500,12.071213,957600
2006-08-22,14.957500,15.037500,14.937500,14.995000,12.065175,702000
2006-08-23,14.992500,15.017500,14.875000,14.947500,12.026957,485600
2006-08-24,14.950000,14.985000,14.912500,14.962500,12.039031,564800
2006-08-25,14.962500,15.027500,14.945000,14.982500,12.055125,710800
2006-08-28,14.950000,15.100000,14.950000,15.040000,12.101389,764400
2006-08-29,15.070000,15.122500,15.000000,15.115000,12.161727,1485200
2006-08-30,15.145000,15.147500,15.090000,15.120000,12.165754,3468400
2006-08-31,15.145000,15.147500,15.092500,15.107500,12.155694,3796000
2006-09-01,15.145000,15.202500,15.117500,15.200000,12.230126,1395600
2006-09-05,15.200000,15.225000,15.155000,15.202500,12.232141,2259600
2006-09-06,15.160000,15.175000,15.037500,15.050000,12.109430,773200
2006-09-07,14.977500,15.072500,14.962500,14.977500,12.051097,467200
2006-09-08,15.007500,15.062500,14.987500,15.037500,12.099377,738000
2006-09-11,14.977500,15.112500,14.952500,15.090000,12.141616,803200
2006-09-12,15.117500,15.265000,15.105000,15.250000,12.270356,943600
2006-09-13,15.195000,15.305000,15.195000,15.280000,12.294497,624000
2006-09-14,15.282500,15.295000,15.235000,15.287500,12.300531,794000
2006-09-15,15.395000,15.395000,15.300000,15.327500,12.332714,1016400
2006-09-18,15.347500,15.400000,15.302500,15.330000,12.334724,588400
2006-09-19,15.325000,15.357500,15.217500,15.310000,12.318631,627600
2006-09-20,15.382500,15.427500,15.340000,15.382500,12.376965,813600
2006-09-21,15.330000,15.437500,15.275000,15.325000,12.330702,1664400
2006-09-22,15.315000,15.315000,15.195000,15.247500,12.268344,3625600
2006-09-25,15.305000,15.412500,15.192500,15.350000,12.350813,873600
2006-09-26,15.372500,15.495000,15.357500,15.470000,12.447370,844800
2006-09-27,15.450000,15.482500,15.412500,15.452500,12.473401,2285600
2006-09-28,15.500000,15.500000,15.397500,15.477500,12.493585,3206000
2006-09-29,15.475000,15.487500,15.425000,15.425000,12.451202,987600
2006-10-02,15.440000,15.462500,15.350000,15.370000,12.406807,941600
2006-10-03,15.367500,15.435000,15.297500,15.382500,12.416897,1068400
2006-10-04,15.330000,15.595000,15.330000,15.595000,12.588428,1070400
2006-10-05,15.625000,15.650000,15.575000,15.645000,12.628788,1441600
2006-10-06,15.587500,15.615000,15.532500,15.605000,12.596501,1070000
2006-10-09,15.562500,15.627500,15.562500,15.600000,12.592467,875600
2006-10-10,15.612500,15.637500,15.560000,15.625000,12.612646,568800
2006-10-11,15.570000,15.622500,15.480000,15.555000,12.556139,3705200
2006-10-12,15.637500,15.730000,15.602500,15.727500,12.695383,1748000
2006-10-13,15.712500,15.747500,15.667500,15.730000,12.697403,1134000
2006-10-16,15.725000,15.797500,15.705000,15.775000,12.733723,1074800
2006-10-17,15.732500,15.750000,15.637500,15.725000,12.693366,559600
2006-10-18,15.845000,15.847500,15.702500,15.757500,12.719601,1683200
2006-10-19,15.750000,15.810000,15.725000,15.780000,12.737765,7808000
2006-10-20,15.825000,15.825000,15.740000,15.820000,12.770048,1310000
2006-10-23,15.777500,15.935000,15.762500,15.912500,12.844720,5174000
2006-10-24,15.852500,15.915000,15.837500,15.910000,12.842700,682800
2006-10-25,15.885000,15.987500,15.885000,15.967500,12.889112,979200
2006-10-26,16.025000,16.052500,15.922500,16.012501,12.925437,2822000
2006-10-27,15.990000,16.017500,15.877500,15.925000,12.854807,1788800
2006-10-30,15.887500,15.955000,15.847500,15.912500,12.844720,1293600
2006-10-31,15.962500,15.962500,15.830000,15.937500,12.864902,1526000
2006-11-01,15.940000,15.960000,15.775000,15.815000,12.766013,884000
2006-11-02,15.755000,15.817500,15.737500,15.807500,12.759961,582400
2006-11-03,15.862500,15.862500,15.745000,15.767500,12.727672,1731200
2006-11-06,15.832500,15.985000,15.812500,15.947500,12.872971,705200
2006-11-07,15.960000,16.049999,15.937500,15.985000,12.903243,757600
2006-11-08,15.925000,16.045000,15.895000,16.037500,12.945622,796800
2006-11-09,16.102501,16.102501,15.905000,15.935000,12.862884,619200
2006-11-10,15.945000,15.947500,15.877500,15.937500,12.864902,606800
2006-11-13,15.897500,16.014999,15.897500,15.975000,12.895174,765200
2006-11-14,16.035000,16.122499,15.927500,16.120001,13.012215,1699600
2006-11-15,16.127501,16.242500,16.110001,16.195000,13.072759,1720000
2006-11-16,16.285000,16.285000,16.182501,16.209999,13.084865,738800
2006-11-17,16.160000,16.262501,16.157499,16.262501,13.127240,1260400
2006-11-20,16.237499,16.250000,16.177500,16.195000,13.072759,4549200
2006-11-21,16.237499,16.257500,16.215000,16.215000,13.088900,952000
2006-11-22,16.292500,16.315001,16.245001,16.309999,13.165585,680400
2006-11-24,16.237499,16.287500,16.225000,16.235001,13.105044,517200
2006-11-27,16.225000,16.232500,16.000000,16.000000,12.915352,2509200
2006-11-28,15.982500,16.102501,15.965000,16.090000,12.988002,1134800
2006-11-29,16.155001,16.247499,16.135000,16.219999,13.092936,834400
2006-11-30,16.250000,16.299999,16.170000,16.242500,13.111095,1207200
2006-12-01,16.237499,16.257500,16.072500,16.195000,13.072759,1623200
2006-12-04,16.225000,16.332500,16.205000,16.305000,13.161550,894400
2006-12-05,16.322500,16.382500,16.309999,16.367500,13.211995,1613600
2006-12-06,16.367500,16.375000,16.317499,16.325001,13.177694,1698800
2006-12-07,16.377501,16.387501,16.250000,16.260000,13.125220,846400
2006-12-08,16.260000,16.330000,16.212500,16.260000,13.125220,598400
2006-12-11,16.285000,16.325001,16.250000,16.307501,13.163562,687200
2006-12-12,16.299999,16.307501,16.195000,16.275000,13.137332,872800
2006-12-13,16.370001,16.370001,16.267500,16.299999,13.157509,679200
2006-12-14,16.350000,16.480000,16.305000,16.450001,13.278597,2698400
2006-12-15,16.525000,16.525000,16.452499,16.487499,13.308867,1487200
2006-12-18,16.469999,16.502501,16.355000,16.385000,13.226122,782000
2006-12-19,16.322500,16.452499,16.285000,16.430000,13.262448,1862000
2006-12-20,16.450001,16.450001,16.367500,16.379999,13.222091,1066400
2006-12-21,16.365000,16.365000,16.219999,16.267500,13.176123,3150000
2006-12-22,16.275000,16.275000,16.172501,16.180000,13.105249,1813200
